GEOID,violent
17031010100,27
17031010201,43
17031010202,37
17031010300,35
17031010400,20
17031010501,9
17031010502,4
17031010503,21
17031010600,32
17031010701,12
17031010702,14
17031020100,10
17031020200,17
17031020301,7
17031020302,12
17031020400,10
17031020500,22
17031020601,16
17031020602,20
17031020701,9
17031020702,15
17031020801,11
17031020802,29
17031020901,40
17031020902,24
17031030101,15
17031030102,11
17031030103,4
17031030104,4
17031030200,14
17031030300,6
17031030400,8
17031030500,21
17031030601,18
17031030603,13
17031030604,7
17031030701,10
17031030702,1
17031030703,14
17031030706,5
17031030800,13
17031030900,5
17031031000,7
17031031100,14
17031031200,47
17031031300,10
17031031400,35
17031031501,7
17031031502,23
17031031700,25
17031031800,8
17031031900,6
17031032100,26
17031040100,14
17031040201,26
17031040202,22
17031040300,11
17031040401,8
17031040402,7
17031040600,6
17031040700,5
17031040800,2
17031040900,6
17031050100,1
17031050200,4
17031050300,4
17031050500,5
17031050600,6
17031050700,2
17031050800,2
17031050900,4
17031051000,2
17031051100,2
17031051200,2
17031051300,1
17031051400,6
17031060100,3
17031060200,4
17031060300,9
17031060400,3
17031060500,4
17031060800,5
17031060900,26
17031061000,10
17031061100,12
17031061200,1
17031061500,6
17031061800,8
17031061901,13
17031061902,5
17031062000,25
17031062100,35
17031062200,19
17031062300,2
17031062400,1
17031062500,6
17031062600,4
17031062700,6
17031062800,4
17031062900,13
17031063000,37
17031063100,13
17031063200,16
17031063301,1
17031063302,4
17031063303,14
17031063400,12
17031070101,10
17031070102,7
17031070103,3
17031070200,15
17031070300,29
17031070400,5
17031070500,2
17031070600,4
17031070700,12
17031071000,5
17031071100,17
17031071200,29
17031071300,12
17031071400,9
17031071500,31
17031071600,6
17031071700,7
17031071800,4
17031080100,9
17031080201,8
17031080202,29
17031080300,34
17031080400,37
17031081000,40
17031081100,30
17031081201,51
17031081202,8
17031081300,40
17031081401,38
17031081402,14
17031081403,51
17031081500,80
17031081600,37
17031081700,73
17031081800,91
17031081900,4
17031090100,0
17031090200,9
17031090300,0
17031100100,7
17031100200,5
17031100300,6
17031100400,8
17031100500,4
17031100600,10
17031100700,1
17031110100,5
17031110200,9
17031110300,5
17031110400,5
17031110501,5
17031110502,17
17031120100,3
17031120200,3
17031120300,4
17031120400,4
17031130100,10
17031130200,9
17031130300,14
17031140100,13
17031140200,38
17031140301,14
17031140302,10
17031140400,9
17031140500,14
17031140601,17
17031140602,24
17031140701,11
17031140702,39
17031140800,23
17031150200,26
17031150300,23
17031150401,11
17031150402,9
17031150501,7
17031150502,6
17031150600,19
17031150700,14
17031150800,13
17031151001,19
17031151002,25
17031151100,31
17031151200,15
17031160100,7
17031160200,8
17031160300,7
17031160400,7
17031160501,16
17031160502,12
17031160601,11
17031160602,5
17031160700,20
17031160800,12
17031160900,13
17031161000,5
17031161100,6
17031161200,6
17031161300,18
17031170100,12
17031170200,12
17031170300,4
17031170400,4
17031170500,7
17031170600,3
17031170700,1
17031170800,6
17031170900,1
17031171000,14
17031171100,8
17031180100,5
17031190100,11
17031190200,27
17031190300,21
17031190401,15
17031190402,20
17031190601,11
17031190602,14
17031190701,9
17031190702,17
17031190800,23
17031190900,5
17031191000,18
17031191100,48
17031191200,19
17031191301,38
17031191302,39
17031200100,15
17031200200,19
17031200300,14
17031200401,11
17031200402,13
17031210100,14
17031210400,17
17031210501,27
17031210502,17
17031210601,14
17031210602,26
17031210700,9
17031210800,3
17031210900,6
17031220300,9
17031220400,11
17031220500,17
17031220601,7
17031220602,36
17031220701,10
17031220702,22
17031220901,13
17031220902,20
17031221000,11
17031221100,16
17031221200,4
17031221300,22
17031221400,10
17031221500,14
17031221600,9
17031222200,9
17031222500,3
17031222600,8
17031222700,9
17031222800,13
17031222900,10
17031230100,9
17031230200,9
17031230300,4
17031230400,11
17031230500,40
17031230600,81
17031230700,56
17031230800,5
17031230900,31
17031231100,14
17031231200,133
17031231500,175
17031240200,7
17031240300,8
17031240500,17
17031240600,5
17031240700,9
17031240800,7
17031240900,44
17031241000,15
17031241100,25
17031241200,22
17031241300,5
17031241400,61
17031241500,22
17031241600,21
17031242000,16
17031242100,14
17031242200,13
17031242300,7
17031242400,8
17031242500,19
17031242600,38
17031242700,9
17031242800,7
17031242900,11
17031243000,8
17031243100,12
17031243200,10
17031243300,12
17031243400,16
17031243500,22
17031250200,38
17031250300,54
17031250400,46
17031250500,13
17031250600,40
17031250700,75
17031250800,42
17031251000,47
17031251100,77
17031251200,68
17031251300,75
17031251400,73
17031251500,105
17031251600,82
17031251700,55
17031251800,182
17031251900,147
17031252000,96
17031252101,49
17031252102,113
17031252201,74
17031252202,176
17031260100,40
17031260200,40
17031260300,46
17031260400,46
17031260500,95
17031260600,61
17031260700,116
17031260800,140
17031260900,58
17031261000,80
17031270500,84
17031271200,51
17031271300,33
17031271400,37
17031271500,45
17031271800,32
17031280100,34
17031280400,36
17031280800,14
17031280900,19
17031281900,24
17031282700,36
17031282800,16
17031283100,18
17031283200,20
17031283800,21
17031290900,126
17031291200,62
17031291600,10
17031292200,73
17031292400,65
17031292500,94
17031300500,25
17031300600,24
17031300700,42
17031300800,36
17031300900,21
17031301100,17
17031301200,37
17031301600,21
17031301701,27
17031301702,16
17031301801,27
17031301802,44
17031301803,28
17031310200,13
17031310300,8
17031310400,11
17031310500,6
17031310600,43
17031310700,9
17031310800,23
17031310900,24
17031320100,100
17031320400,89
17031320600,42
17031330100,79
17031330200,19
17031340300,2
17031340400,5
17031340500,20
17031340600,25
17031350100,5
17031350400,31
17031351000,50
17031351100,28
17031351400,26
17031351500,8
17031360200,29
17031380100,23
17031380200,7
17031380500,8
17031380700,16
17031381200,28
17031381400,33
17031381500,11
17031381700,1
17031381800,27
17031381900,13
17031390100,9
17031390200,15
17031390300,31
17031390400,30
17031390500,10
17031390600,8
17031390700,24
17031400300,47
17031400400,41
17031400500,48
17031400800,56
17031410100,13
17031410200,7
17031410500,8
17031410600,12
17031410700,16
17031410800,15
17031410900,18
17031411000,15
17031411100,13
17031411200,3
17031420100,12
17031420200,19
17031420300,8
17031420400,8
17031420500,29
17031420600,64
17031420700,142
17031420800,39
17031421200,38
17031430101,78
17031430102,32
17031430200,116
17031430300,65
17031430400,47
17031430500,88
17031430600,34
17031430700,18
17031430800,26
17031430900,29
17031431200,38
17031431301,109
17031431302,109
17031431400,93
17031440101,135
17031440102,84
17031440201,100
17031440202,54
17031440300,59
17031440600,26
17031440700,22
17031440800,34
17031440900,52
17031450300,40
17031460100,50
17031460200,36
17031460301,41
17031460302,80
17031460400,67
17031460500,74
17031460600,12
17031460700,47
17031461000,34
17031470100,65
17031480100,21
17031480200,14
17031480300,21
17031480400,55
17031480500,29
17031490300,24
17031490400,15
17031490500,20
17031490600,54
17031490700,45
17031490800,65
17031490901,57
17031490902,64
17031491000,110
17031491100,56
17031491200,33
17031491300,49
17031491400,61
17031500100,28
17031500200,36
17031500300,10
17031510100,19
17031510200,16
17031510300,79
17031520100,9
17031520200,16
17031520300,18
17031520400,15
17031520500,11
17031520600,8
17031530100,38
17031530200,80
17031530300,70
17031530400,30
17031530501,78
17031530502,19
17031530503,60
17031530600,42
17031540101,103
17031540102,45
17031550100,24
17031550200,10
17031560100,3
17031560200,18
17031560300,7
17031560400,10
17031560700,13
17031560800,11
17031560900,5
17031561000,2
17031561100,5
17031570100,2
17031570200,12
17031570300,13
17031570400,4
17031570500,11
17031580100,11
17031580200,15
17031580300,7
17031580400,19
17031580501,17
17031580502,24
17031580600,30
17031580700,20
17031580800,9
17031590500,15
17031590600,12
17031590700,4
17031600400,13
17031600600,3
17031600700,14
17031600900,14
17031610300,58
17031610400,13
17031610800,10
17031611000,18
17031611100,26
17031611200,33
17031611300,33
17031611400,28
17031611500,28
17031611600,11
17031611700,30
17031611800,36
17031611900,49
17031612000,13
17031612100,28
17031620100,16
17031620200,12
17031620300,23
17031620400,19
17031630100,18
17031630200,11
17031630300,40
17031630400,18
17031630500,29
17031630800,34
17031630900,21
17031640100,6
17031640300,20
17031640400,3
17031640500,5
17031640600,16
17031640700,6
17031640800,6
17031650100,15
17031650200,25
17031650301,22
17031650302,9
17031650400,24
17031650500,24
17031660301,21
17031660302,38
17031660400,24
17031660500,32
17031660600,126
17031660700,39
17031660800,65
17031660900,88
17031661000,80
17031661100,35
17031670100,29
17031670200,39
17031670300,32
17031670400,43
17031670500,38
17031670600,20
17031670700,34
17031670800,64
17031670900,36
17031671100,27
17031671200,55
17031671300,72
17031671400,36
17031671500,86
17031671600,71
17031671800,26
17031671900,23
17031672000,60
17031680500,44
17031680600,33
17031680900,103
17031681000,73
17031681100,86
17031681200,65
17031681300,82
17031681400,85
17031690300,66
17031690400,105
17031690500,25
17031690900,67
17031691000,61
17031691100,92
17031691200,80
17031691300,54
17031691400,59
17031691500,65
17031700100,29
17031700200,21
17031700301,16
17031700302,16
17031700401,28
17031700402,20
17031700501,36
17031700502,16
17031710100,31
17031710200,109
17031710300,39
17031710400,73
17031710500,72
17031710600,35
17031710700,50
17031710800,86
17031710900,63
17031711000,66
17031711100,29
17031711200,67
17031711300,21
17031711400,60
17031711500,44
17031720100,5
17031720200,12
17031720300,6
17031720400,2
17031720500,2
17031720600,0
17031720700,14
17031730100,20
17031730201,76
17031730202,32
17031730300,5
17031730400,46
17031730500,61
17031730600,30
17031730700,30
17031740100,6
17031740200,6
17031740300,3
17031740400,2
17031750100,35
17031750200,12
17031750300,5
17031750400,5
17031750500,47
17031750600,35
17031760801,2
17031760802,1
17031760803,7
17031770500,0
17031770602,0
17031770700,0
17031770800,0
17031810400,3
17031823304,0
17031830500,24
17031830600,21
17031830700,71
17031830800,7
17031830900,19
17031831000,4
17031831100,35
17031831200,23
17031831300,35
17031831400,99
17031831500,22
17031831600,29
17031831700,8
17031831800,16
17031831900,3
17031832000,30
17031832100,19
17031832200,5
17031832300,11
17031832400,15
17031832500,21
17031832600,21
17031832900,22
17031833000,48
17031833100,41
17031833300,14
17031833900,51
17031834000,56
17031834200,86
17031834300,82
17031834400,34
17031834500,24
17031834600,107
17031834700,58
17031834800,59
17031834900,59
17031835000,97
17031835100,47
17031835200,10
17031835500,45
17031835600,51
17031835700,6
17031835800,28
17031835900,50
17031836000,29
17031836100,45
17031836200,13
17031836300,9
17031836400,22
17031836500,20
17031836600,69
17031836700,70
17031836800,85
17031836900,29
17031837000,53
17031837100,57
17031837300,68
17031837400,53
17031837800,66
17031838000,51
17031838100,41
17031838200,44
17031838300,24
17031838600,52
17031838700,149
17031838800,58
17031839000,57
17031839100,180
17031839200,26
17031839500,12
17031839600,34
17031839700,23
17031839800,9
17031839900,11
17031840000,10
17031840100,3
17031840200,21
17031840300,17
17031840400,13
17031840700,37
17031840800,22
17031841000,35
17031841100,66
17031841200,33
17031841300,38
17031841400,56
17031841500,92
17031841600,27
17031841700,19
17031841800,54
17031841900,107
17031842000,28
17031842100,99
17031842200,46
17031842300,22
17031842400,175
17031842500,93
17031842600,40
17031842800,51
17031842900,59
17031843000,105
17031843100,57
17031843200,23
17031843300,26
17031843400,41
17031843500,24
17031843600,44
17031843700,9
17031843800,17
17031843900,87
17031980000,8
17031980100,4
17043840000,0
